timestamp,real,predito,acerto
0,eating_concentrates,sniff,False
1,eating_concentrates,sniff,False
2,eating_concentrates,sniff,False
3,eating_concentrates,sniff,False
4,eating_concentrates,sniff,False
5,eating_concentrates,sniff,False
6,eating_concentrates,sniff,False
7,eating_concentrates,sniff,False
8,eating_concentrates,sniff,False
9,eating_concentrates,sniff,False
10,eating_concentrates,sniff,False
11,eating_concentrates,sniff,False
12,eating_concentrates,sniff,False
13,eating_concentrates,sniff,False
14,eating_concentrates,sniff,False
15,eating_concentrates,sniff,False
16,eating_concentrates,sniff,False
17,eating_concentrates,sniff,False
18,eating_concentrates,sniff,False
19,eating_concentrates,sniff,False
20,eating_concentrates,sniff,False
21,eating_concentrates,sniff,False
22,eating_concentrates,sniff,False
23,eating_concentrates,sniff,False
24,eating_concentrates,sniff,False
25,eating_concentrates,sniff,False
26,eating_concentrates,sniff,False
27,eating_concentrates,sniff,False
28,eating_concentrates,sniff,False
29,eating_concentrates,sniff,False
30,eating_concentrates,sniff,False
31,eating_concentrates,sniff,False
32,eating_concentrates,sniff,False
33,eating_concentrates,drinking_milk,False
34,eating_concentrates,sniff,False
35,eating_concentrates,sniff,False
36,eating_concentrates,sniff,False
37,eating_concentrates,drinking_milk,False
38,eating_concentrates,drinking_milk,False
39,eating_concentrates,drinking_milk,False
40,eating_concentrates,drinking_milk,False
41,eating_concentrates,sniff,False
42,eating_concentrates,sniff,False
43,eating_concentrates,sniff,False
44,eating_concentrates,sniff,False
45,eating_concentrates,grooming,False
46,eating_concentrates,drinking_milk,False
47,eating_concentrates,sniff,False
48,eating_concentrates,sniff,False
49,eating_concentrates,sniff,False
50,eating_concentrates,sniff,False
51,eating_concentrates,sniff,False
52,eating_concentrates,sniff,False
53,eating_concentrates,sniff,False
54,eating_concentrates,sniff,False
55,eating_concentrates,sniff,False
56,eating_concentrates,sniff,False
57,eating_concentrates,sniff,False
58,eating_concentrates,sniff,False
59,eating_concentrates,sniff,False
60,eating_concentrates,sniff,False
61,eating_concentrates,sniff,False
62,eating_concentrates,sniff,False
63,eating_concentrates,sniff,False
64,eating_concentrates,sniff,False
65,eating_concentrates,sniff,False
66,eating_concentrates,sniff,False
67,eating_concentrates,sniff,False
68,eating_concentrates,sniff,False
69,eating_concentrates,sniff,False
70,eating_concentrates,sniff,False
71,eating_concentrates,sniff,False
72,eating_concentrates,sniff,False
73,eating_concentrates,sniff,False
74,eating_concentrates,sniff,False
75,eating_concentrates,sniff,False
76,eating_concentrates,sniff,False
77,eating_concentrates,sniff,False
78,eating_concentrates,sniff,False
79,eating_concentrates,sniff,False
80,eating_concentrates,sniff,False
81,eating_concentrates,sniff,False
82,eating_concentrates,sniff,False
83,eating_concentrates,sniff,False
84,eating_concentrates,sniff,False
85,eating_concentrates,sniff,False
86,eating_concentrates,sniff,False
87,eating_concentrates,sniff,False
88,eating_concentrates,sniff,False
89,eating_concentrates,sniff,False
90,eating_concentrates,sniff,False
91,eating_concentrates,sniff,False
92,eating_concentrates,sniff,False
93,eating_concentrates,sniff,False
94,eating_concentrates,sniff,False
95,eating_concentrates,sniff,False
96,eating_concentrates,sniff,False
97,eating_concentrates,sniff,False
98,eating_concentrates,sniff,False
99,eating_concentrates,sniff,False
100,eating_concentrates,sniff,False
101,eating_concentrates,sniff,False
102,eating_concentrates,sniff,False
103,eating_concentrates,sniff,False
104,eating_concentrates,sniff,False
105,eating_concentrates,sniff,False
106,eating_concentrates,sniff,False
107,eating_concentrates,sniff,False
108,eating_concentrates,sniff,False
109,eating_concentrates,sniff,False
110,eating_concentrates,sniff,False
111,eating_concentrates,sniff,False
112,eating_concentrates,sniff,False
113,eating_concentrates,sniff,False
114,eating_concentrates,sniff,False
115,eating_concentrates,sniff,False
116,eating_concentrates,sniff,False
117,eating_concentrates,sniff,False
118,eating_concentrates,sniff,False
119,eating_concentrates,sniff,False
120,eating_concentrates,sniff,False
121,eating_concentrates,sniff,False
122,eating_concentrates,sniff,False
123,eating_concentrates,sniff,False
124,eating_concentrates,sniff,False
125,eating_concentrates,sniff,False
126,eating_concentrates,sniff,False
127,eating_concentrates,sniff,False
128,eating_concentrates,sniff,False
129,eating_concentrates,sniff,False
130,eating_concentrates,sniff,False
131,eating_concentrates,sniff,False
132,eating_concentrates,sniff,False
133,eating_concentrates,sniff,False
134,eating_concentrates,sniff,False
135,eating_concentrates,sniff,False
136,eating_concentrates,sniff,False
137,eating_concentrates,sniff,False
138,eating_concentrates,sniff,False
139,eating_concentrates,sniff,False
140,eating_concentrates,sniff,False
141,eating_concentrates,sniff,False
142,eating_concentrates,sniff,False
143,eating_concentrates,sniff,False
144,eating_concentrates,sniff,False
145,eating_concentrates,sniff,False
146,eating_concentrates,sniff,False
147,eating_concentrates,sniff,False
148,eating_concentrates,sniff,False
149,eating_concentrates,sniff,False
150,eating_concentrates,sniff,False
151,eating_concentrates,sniff,False
152,eating_concentrates,sniff,False
153,eating_concentrates,sniff,False
154,eating_concentrates,sniff,False
155,eating_concentrates,sniff,False
156,eating_concentrates,sniff,False
157,eating_concentrates,sniff,False
158,eating_concentrates,sniff,False
159,eating_concentrates,sniff,False
160,eating_concentrates,sniff,False
161,eating_concentrates,sniff,False
162,eating_concentrates,sniff,False
163,eating_concentrates,sniff,False
164,eating_concentrates,sniff,False
165,eating_concentrates,sniff,False
166,eating_concentrates,sniff,False
167,eating_concentrates,sniff,False
168,eating_concentrates,sniff,False
169,eating_concentrates,sniff,False
170,eating_concentrates,sniff,False
171,eating_concentrates,sniff,False
172,eating_concentrates,sniff,False
173,eating_concentrates,sniff,False
174,eating_concentrates,sniff,False
175,eating_concentrates,sniff,False
176,eating_concentrates,sniff,False
177,eating_concentrates,sniff,False
178,eating_concentrates,sniff,False
179,eating_concentrates,sniff,False
180,eating_concentrates,sniff,False
181,eating_concentrates,sniff,False
182,eating_concentrates,sniff,False
183,eating_concentrates,sniff,False
184,eating_concentrates,sniff,False
185,eating_concentrates,sniff,False
186,eating_concentrates,sniff,False
187,eating_concentrates,sniff,False
188,eating_concentrates,sniff,False
189,eating_concentrates,sniff,False
190,eating_concentrates,sniff,False
191,eating_concentrates,sniff,False
192,eating_concentrates,sniff,False
193,eating_concentrates,sniff,False
194,eating_concentrates,sniff,False
195,eating_concentrates,sniff,False
196,eating_concentrates,sniff,False
197,eating_concentrates,sniff,False
198,eating_concentrates,sniff,False
199,eating_concentrates,sniff,False
200,eating_concentrates,sniff,False
201,eating_concentrates,sniff,False
202,eating_concentrates,sniff,False
203,eating_concentrates,sniff,False
204,eating_concentrates,sniff,False
205,eating_concentrates,sniff,False
206,eating_concentrates,sniff,False
207,eating_concentrates,sniff,False
208,eating_concentrates,sniff,False
209,eating_concentrates,sniff,False
210,eating_concentrates,sniff,False
211,eating_concentrates,sniff,False
212,eating_concentrates,sniff,False
213,eating_concentrates,sniff,False
214,eating_concentrates,sniff,False
215,eating_concentrates,sniff,False
216,eating_concentrates,sniff,False
217,eating_concentrates,sniff,False
218,eating_concentrates,sniff,False
219,eating_concentrates,sniff,False
220,eating_concentrates,sniff,False
221,eating_concentrates,sniff,False
222,eating_concentrates,sniff,False
223,eating_concentrates,sniff,False
224,eating_concentrates,sniff,False
225,eating_concentrates,sniff,False
226,eating_concentrates,sniff,False
227,eating_concentrates,sniff,False
228,eating_concentrates,sniff,False
229,eating_concentrates,sniff,False
230,eating_concentrates,sniff,False
231,eating_concentrates,sniff,False
232,eating_concentrates,sniff,False
233,eating_concentrates,sniff,False
234,eating_concentrates,sniff,False
235,eating_concentrates,sniff,False
236,eating_concentrates,sniff,False
237,eating_concentrates,sniff,False
238,eating_concentrates,sniff,False
239,eating_concentrates,sniff,False
240,eating_concentrates,sniff,False
241,eating_concentrates,sniff,False
242,eating_concentrates,sniff,False
243,eating_concentrates,sniff,False
244,eating_concentrates,sniff,False
245,eating_concentrates,sniff,False
246,eating_concentrates,sniff,False
247,eating_concentrates,sniff,False
248,eating_concentrates,sniff,False
249,eating_concentrates,sniff,False
250,eating_concentrates,sniff,False
251,eating_concentrates,sniff,False
252,eating_concentrates,sniff,False
253,eating_concentrates,sniff,False
254,eating_concentrates,sniff,False
255,eating_concentrates,sniff,False
256,eating_concentrates,sniff,False
257,eating_concentrates,sniff,False
258,eating_concentrates,sniff,False
259,eating_concentrates,sniff,False
260,eating_concentrates,sniff,False
261,eating_concentrates,sniff,False
262,eating_concentrates,sniff,False
263,eating_concentrates,sniff,False
264,eating_concentrates,sniff,False
265,eating_concentrates,sniff,False
266,eating_concentrates,sniff,False
267,eating_concentrates,sniff,False
268,eating_concentrates,sniff,False
269,eating_concentrates,sniff,False
270,eating_concentrates,sniff,False
271,eating_concentrates,sniff,False
272,eating_concentrates,sniff,False
273,eating_concentrates,sniff,False
274,eating_concentrates,sniff,False
275,eating_concentrates,sniff,False
276,eating_concentrates,sniff,False
277,eating_concentrates,sniff,False
278,eating_concentrates,sniff,False
279,eating_concentrates,sniff,False
280,eating_concentrates,sniff,False
281,eating_concentrates,sniff,False
282,eating_concentrates,sniff,False
283,eating_concentrates,sniff,False
284,eating_concentrates,sniff,False
285,eating_concentrates,sniff,False
286,eating_concentrates,sniff,False
287,eating_concentrates,sniff,False
288,eating_concentrates,sniff,False
289,eating_concentrates,sniff,False
290,eating_concentrates,sniff,False
291,eating_concentrates,sniff,False
292,eating_concentrates,sniff,False
293,eating_concentrates,sniff,False
294,eating_concentrates,sniff,False
295,eating_concentrates,sniff,False
296,eating_concentrates,sniff,False
297,eating_concentrates,sniff,False
298,eating_concentrates,sniff,False
299,eating_concentrates,sniff,False
300,eating_concentrates,sniff,False
301,eating_concentrates,sniff,False
302,eating_concentrates,sniff,False
303,eating_concentrates,sniff,False
304,eating_concentrates,sniff,False
305,eating_concentrates,sniff,False
306,eating_concentrates,sniff,False
307,eating_concentrates,sniff,False
308,eating_concentrates,sniff,False
309,eating_concentrates,sniff,False
310,eating_concentrates,sniff,False
311,eating_concentrates,sniff,False
312,eating_concentrates,sniff,False
313,eating_concentrates,sniff,False
314,eating_concentrates,sniff,False
315,eating_concentrates,sniff,False
316,eating_concentrates,sniff,False
317,eating_concentrates,sniff,False
318,eating_concentrates,sniff,False
319,eating_concentrates,sniff,False
320,eating_concentrates,sniff,False
